name,team,position,total_points,games_played,current_value,max_value_1y,season,possible_value_improvement,points_per_value,points_per_game,current_team
Chuki,Real Valladolid,Midfielder,53,18,220000,220000.0,24/25,0.0,240.91,2.94,Real Valladolid
Horkaš,Las Palmas,Goalkeeper,52,11,1930000,2260000.0,24/25,330000.0,26.94,4.73,Las Palmas
Rubén Vargas,Sevilla,Forward,52,11,1760000,7050000.0,24/25,5290000.0,29.55,4.73,Sevilla
Bajčetić,Las Palmas,Midfielder,52,14,1050000,3100000.0,24/25,2050000.0,49.52,3.71,Las Palmas
Aridane,Rayo Vallecano,Defender,51,12,1280000,1280000.0,24/25,0.0,39.84,4.25,Rayo Vallecano
Pau Cabanes,Alavés,Forward,51,16,150000,310000.0,24/25,160000.0,340.0,3.19,Alavés
Héctor Fort,Barcelona,Defender,50,15,550000,570000.0,24/25,20000.0,90.91,3.33,Barcelona
Rafa Mir,Valencia,Forward,50,18,360000,4670000.0,24/25,4310000.0,138.89,2.78,Valencia
Iker Muñoz,Osasuna,Midfielder,50,20,200000,3090000.0,24/25,2890000.0,250.0,2.5,Osasuna
Pere Milla,Espanyol,Forward,49,17,170000,2030000.0,24/25,1860000.0,288.24,2.88,Espanyol
Trejo,Rayo Vallecano,Midfielder,48,16,290000,1770000.0,24/25,1480000.0,165.52,3.0,Rayo Vallecano
Kambwala,Villarreal,Defender,47,17,340000,880000.0,24/25,540000.0,138.24,2.76,Villarreal
Pacha Espino,Rayo Vallecano,Defender,47,14,290000,2750000.0,24/25,2460000.0,162.07,3.36,Rayo Vallecano
Jesús Vázquez,Valencia,Defender,47,18,280000,1560000.0,24/25,1280000.0,167.86,2.61,Valencia
David Torres,Real Valladolid,Defender,47,18,210000,300000.0,24/25,90000.0,223.81,2.61,Real Valladolid
Albiol,Villarreal,Defender,46,15,400000,2340000.0,24/25,1940000.0,115.0,3.07,Villarreal
Boiro,Athletic,Defender,46,16,200000,240000.0,24/25,40000.0,230.0,2.88,Athletic
Sergi Canós,Valencia,Forward,46,17,190000,1480000.0,24/25,1290000.0,242.11,2.71,Valencia
Pau Navarro,Villarreal,Defender,46,15,180000,800000.0,24/25,620000.0,255.56,3.07,Villarreal
Berrocal,Getafe,Defender,45,17,170000,850000.0,24/25,680000.0,264.71,2.65,Getafe
Alex Sola,Getafe,Midfielder,44,19,410000,2360000.0,24/25,1950000.0,107.32,2.32,Getafe
Jon Pacheco,Real Sociedad,Defender,44,13,260000,2730000.0,24/25,2470000.0,169.23,3.38,Real Sociedad
Grillitsch,Real Valladolid,Midfielder,43,12,560000,2850000.0,24/25,2290000.0,76.79,3.58,Real Valladolid
Idumbo,Sevilla,Midfielder,0,0,210000,210000.0,24/25,0.0,0.0,,Sevilla
Benito Ramírez,Las Palmas,Forward,0,0,150000,150000.0,24/25,0.0,0.0,,Las Palmas
Bellerín,Betis,Defender,42,9,270000,1610000.0,24/25,1340000.0,155.56,4.67,Betis
Villalibre,Alavés,Forward,0,0,270000,270000.0,24/25,0.0,0.0,,Alavés
Jailson,Celta,Defender,0,0,250000,250000.0,24/25,0.0,0.0,,Celta
Juanpe,Girona,Defender,0,0,210000,210000.0,24/25,0.0,0.0,,Girona
Lato,Mallorca,Defender,0,0,210000,210000.0,24/25,0.0,0.0,,Mallorca
Carvalho,Betis,Midfielder,40,11,580000,2370000.0,24/25,1790000.0,68.97,3.64,Betis
Unai Núñez,Athletic,Defender,0,0,220000,220000.0,24/25,0.0,0.0,,Athletic
Kike Barja,Osasuna,Midfielder,0,0,220000,220000.0,24/25,0.0,0.0,,Osasuna
Guardiola,Rayo Vallecano,Forward,0,0,150000,150000.0,24/25,0.0,0.0,,Rayo Vallecano
Traoré,Real Sociedad,Defender,39,10,490000,3570000.0,24/25,3080000.0,79.59,3.9,Real Sociedad
Franquesa,Leganés,Defender,39,12,350000,2530000.0,24/25,2180000.0,111.43,3.25,Leganés
Pedraza,Villarreal,Defender,0,0,510000,510000.0,24/25,0.0,0.0,,Villarreal
Yellu,Getafe,Midfielder,0,0,280000,280000.0,24/25,0.0,0.0,,Getafe
Peter Federico,Getafe,Forward,0,0,260000,260000.0,24/25,0.0,0.0,,Getafe
Lekue,Athletic,Defender,38,14,230000,1300000.0,24/25,1070000.0,165.22,2.71,Athletic
Yan Diomande,Leganés,Forward,0,0,670000,670000.0,24/25,0.0,0.0,,Leganés
Adam Aznou,Real Valladolid,Defender,0,0,320000,320000.0,24/25,0.0,0.0,,Real Valladolid
Aguado,Espanyol,Midfielder,0,0,300000,300000.0,24/25,0.0,0.0,,Espanyol
Buchanan,Villarreal,Midfielder,0,0,1210000,1210000.0,24/25,0.0,0.0,,Villarreal
Correia,Valencia,Defender,34,11,400000,3110000.0,24/25,2710000.0,85.0,3.09,Valencia
Misehouy,Girona,Midfielder,0,0,240000,240000.0,24/25,0.0,0.0,,Girona
